Trainer 694,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,XATU,FEAROW,GLIGAR,TOGETIC,NONE,NONE
Level,54,54,54,54,,
Ability,SYNCHRONIZE,KEEN_EYE,HYPER_CUTTER,HUSTLE,,
Held Item,,,,,,
Move 1,FUTURE_SIGHT,DRILL_PECK,SKY_UPPERCUT,LAST_RESORT,,
Move 2,OMINOUS_WIND,DRILL_RUN,X_SCISSOR,FAIRY_WIND,,
Move 3,PSYCHIC,FOCUS_ENERGY,SLASH,MAGICAL_LEAF,,
Move 4,AIR_SLASH,FURY_ATTACK,ACROBATICS,ANCIENT_POWER,,
Optional Move 1,TAILWIND,PLUCK,POISON_STING,GROWL,,
Optional Move 2,PECK,PECK,SAND_ATTACK,POUND,,
Optional Move 3,LEER,GROWL,HARDEN,SWEET_KISS,,
Optional Move 4,STORED_POWER,LEER,KNOCK_OFF,LIFE_DEW,,
Optional Move 5,TELEPORT,PURSUIT,QUICK_ATTACK,CHARM,,
Optional Move 6,NIGHT_SHADE,AERIAL_ACE,FURY_CUTTER,METRONOME,,
Optional Move 7,LUCKY_CHANT,MIRROR_MOVE,FEINT_ATTACK,YAWN,,
Optional Move 8,CONFUSE_RAY,ASSURANCE,U_TURN,ENCORE,,
Optional Move 9,PSYCHO_SHIFT,AGILITY,SCREECH,BESTOW,,
Optional Move 10,WISH,ROOST,SWORDS_DANCE,FOLLOW_ME,,
Optional Move 11,MIRACLE_EYE,TOXIC,METAL_CLAW,SAFEGUARD,,
Optional Move 12,POWER_SWAP,HIDDEN_POWER,WING_ATTACK,DOUBLE_EDGE,,
