TrainerID,Folder,Reasons
20,T20-BUG_CATCHER-SOFIA,species_list_diff
46,T46-TEAM_ROCKET_F-CYRA,species_list_diff
60,T60-LEADER_FALKNER-FALKNER,species_list_diff
62,T62-HIKER-LANDON,species_list_diff
67,T67-HIKER-ISABELLA,species_list_diff
79,T79-TEAM_ROCKET_F-FLINT,species_list_diff
80,T80-TEAM_ROCKET-GAVRIC,species_list_diff
81,T81-TEAM_ROCKET-HALE,species_list_diff
82,T82-TEAM_ROCKET_F-VERRA,species_list_diff
83,T83-TEAM_ROCKET-CHARA,species_list_diff
85,T85-TEAM_ROCKET_F-WRYNN,species_list_diff
94,T94-TEAM_ROCKET-ETTA,species_list_diff
96,T96-FISHERMAN-ISAIAH,species_list_diff
98,T98-BLACK_BELT-CAMERON,species_list_diff
99,T99-HIKER-EMILIA,species_list_diff
100,T100-FISHERMAN-SANTIAGO,species_list_diff
105,T105-BEAUTY-ELIJAH,species_list_diff
117,T117-TEAM_ROCKET_F-ZINNIA,species_list_diff
125,T125-ARTIST-JONATHAN,species_list_diff
132,T132-LEADER_BUGSY-BUGSY,species_list_diff
133,T133-LEADER_BUGSY-BUGSY,species_list_diff
137,T137-HIKER-ASHER,species_list_diff
138,T138-PKMN_TRAINER_LUCAS_PT-HOP,species_list_diff
142,T142-HIKER-AALIYAH,species_list_diff
148,T148-MEDIUM-ANNA,species_list_diff
154,T154-PKMN_RANGER_M-YANIN,species_list_diff
157,T157-BIRD_KEEPER-AXEL,"class_diff(csv=TRAINERCLASS_YOUNGSTER, s=TRAINERCLASS_BIRD_KEEPER)"
158,T158-FISHERMAN-JOHN,species_list_diff
163,T163-RUIN_MANIAC-EVAN,"class_diff(csv=TRAINERCLASS_YOUNGSTER, s=TRAINERCLASS_RUIN_MANIAC)"
171,T171-PSYCHIC_M-COOPER,species_list_diff
178,T178-TEAM_ROCKET_F-BLYTHEA,species_list_diff
183,T183-TEAM_ROCKET-LENNOX,species_list_diff
185,T185-PARASOL_LADY-SAMANTHA,species_list_diff
186,T186-PSYCHIC_F-ARIA,species_list_diff
192,T192-PKMN_RANGER_M-ZADIE,species_list_diff
193,T193-PKMN_RANGER_M-FIORA,species_list_diff
206,T206-AROMA_LADY-QUINN,species_list_diff
207,T207-LEADER_WHITNEY-WHITNEY,species_list_diff
208,T208-LEADER_WHITNEY-WHITNEY,species_list_diff
213,T213-PSYCHIC_M-ELEANOR,species_list_diff
215,T215-MEDIUM-CATHERINE,species_list_diff
222,T222-PKMN_RANGER_F-HELENA,species_list_diff
224,T224-PKMN_RANGER_M-AILAA,species_list_diff
227,T227-PSYCHIC_M-STELLA,species_list_diff
230,T230-PKMN_RANGER_F-ZANDER,species_list_diff
231,T231-MEDIUM-HENRY,species_list_diff
232,T232-BUG_CATCHER-GENESIS,species_list_diff
235,T235-PKMN_RANGER_F-BASTIAN,species_list_diff
236,T236-PSYCHIC_F-CONNOR,species_list_diff
243,T243-HIKER-CHRISTIAN,species_list_diff
244,T244-TEAM_ROCKET-IRIS,species_list_diff
258,T258-ROUGHNECK-ADDISON,species_list_diff
260,T260-WORKER-THOMAS,species_list_diff
261,T261-PKMN_TRAINER_DAWN_PT-MAY,species_list_diff
274,T274-LEADER_MORTY-MORTY,species_list_diff
275,T275-LEADER_MORTY-MORTY,species_list_diff
282,T282-PKMN_TRAINER_DAWN_PT-LYRA,species_list_diff
297,T297-PSYCHIC_M-ELLA,species_list_diff
298,T298-FISHERMAN-KINSLEY,species_list_diff
299,T299-PKMN_TRAINER_LUCAS_PT-NATE,species_list_diff
303,T303-PKMN_BREEDER_M-JACK,species_list_diff
307,T307-POKE_MANIAC-LAYLA,species_list_diff
313,T313-BIKER-THOMAS,species_list_diff
322,T322-BIKER-GENESIS,species_list_diff
328,T328-PICNICKER-ISABELLA,species_list_diff
339,T339-ACE_TRAINER_M-EASTON,species_list_diff
349,T349-BIRD_KEEPER-ELLA,species_list_diff
350,T350-PSYCHIC_F-SAMANTHA,species_list_diff
356,T356-TEAM_ROCKET_F-FLINTA,species_list_diff
357,T357-TEAM_ROCKET_F-GAVRICA,species_list_diff
358,T358-TEAM_ROCKET-MARLOW,species_list_diff
359,T359-TEAM_ROCKET_F-HALEA,species_list_diff
361,T361-TEAM_ROCKET_F-NOX,species_list_diff
362,T362-TEAM_ROCKET-ORION,species_list_diff
364,T364-TEAM_ROCKET-QUILL,species_list_diff
366,T366-TEAM_ROCKET-ORRYX,species_list_diff
375,T375-TEAM_ROCKET-TALON,species_list_diff
385,T385-PKMN_RANGER_F-DAELIA,species_list_diff
393,T393-PKMN_RANGER_M-KAELAN,species_list_diff
395,T395-PKMN_RANGER_M-MERRIN,species_list_diff
398,T398-PICNICKER-ZOEY,species_list_diff
400,T400-AROMA_LADY-JOSIAH,species_list_diff
408,T408-LEADER_PRYCE-PRYCE,species_list_diff
409,T409-LEADER_PRYCE-PRYCE,species_list_diff
411,T411-BOARDER-GRAYSON,species_list_diff
414,T414-SKIER-ISLA,species_list_diff
415,T415-SKIER-EVERLY,species_list_diff
416,T416-BOARDER-DYLAN,species_list_diff
418,T418-SKIER-GABRIEL,species_list_diff
